Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d),BOE / month,Revenue Oil,Revenue NGL,Revenue Gas,Revenue,OPEX,EBITDA,CAPEX,Net Operating Cash Flow,SEC Net Cash Flow,Discount Factor,PV (all-in),PV (SEC)
74,50320.312436361295,48562.821221264814,20969.976571591054,69532.79779285587,119853.11022921716,3643534.5509682014,128651747.58086683,13438084.13088092,5017147.076683213,147106978.78843096,53159169.098626055,93947809.68980491,72828000.0,21119809.68980491,27495995.153999254,0.5533761187287372,11687198.314433817,15215627.078904273
75,49912.2435086652,48792.482450168725,21053.480521585116,69845.96297175385,119758.20648041906,3640649.4770047395,128549876.77324657,13427443.40108888,5013174.329835527,146990494.50417098,53117075.86949915,93873418.63467184,72828000.0,21045418.634671837,27416555.21943012,0.5489983289583895,11553899.66266459,15051643.001262547
76,49511.12848193045,49019.702905421975,21135.90513574528,70155.60804116726,119666.7365230977,3637868.79030217,128451691.83805351,13417187.672392465,5009345.324246088,146878224.83469206,53076505.65050866,93801719.1841834,72828000.0,20973719.184183404,27339989.567212194,0.5446551721304922,11423444.632478017,14890866.723775819
77,49116.78817974875,49244.5389361678,21217.277422929183,70461.81635909699,119578.60453884574,3635189.5779809104,128357089.92267476,13407306.201509196,5005656.048879715,146770052.17306367,53037415.94274148,93732636.23032218,72828000.0,20904636.230322182,27266217.991788775,0.540346374261879,11295744.392318105,14733202.031697078
78,48729.04957548617,49467.04490605121,21297.623397295098,70764.6683033463,119493.71787883248,3632609.0235165074,128265971.57675849,13397788.600533582,5002102.625382231,146665862.80267432,52999765.65310584,93666097.14956848,72828000.0,20838097.149568483,27195162.940722376,0.5360716635368798,11170713.40391229,14578556.237789549
79,48347.745529552536,49687.273286708674,21376.96812639685,71064.24141310553,119411.98694265806,3630124.4030568046,128178240.62217455,13388624.823354106,4998681.30300922,146565546.74853787,52963515.04059878,93602031.70793909,72828000.0,20774031.70793909,27126749.413288504,0.531830770290174,11048269.285265744,14426840.03593775
80,47972.71454006296,49905.27474577474,21455.335776412227,71360.61052218697,119333.32506224992,3627733.0818923973,128093804.0283878,13379805.15263554,4995388.453765831,146468997.63478917,52928625.66481008,93540371.96997909,72828000.0,20712371.969979092,27060904.863290787,0.527623426989778,10928332.67988739,14277967.361413836
81,47603.80050610008,50121.098229789,21532.74965470721,71653.84788449621,119257.6483905963,3625432.511074127,128012571.79302302,13371320.187343597,4992220.567749074,146376112.5481157,52895060.336571515,93481052.21154419,72828000.0,20653052.211544186,26997559.105923906,0.5234493682201694,10810827.131950976,14131855.257482551
82,47240.852502839,50334.79104235584,21609.232249921886,71944.02329227774,119184.87579511674,3623220.2241715486,127934456.82740773,13363160.830789506,4989174.248684223,146286791.90688145,52862783.07066289,93424008.83621857,72828000.0,20596008.836218566,26936644.22851877,0.5193083306655428,10695678.967109432,13988423.74804371
83,46883.7245678458,50546.39891788115,21684.805269749057,72231.20418763021,119114.928755476,3621093.83416647,127859374.8468844,13355318.279172776,4986246.209647229,146200939.33570442,52831759.040488794,93369180.29521562,72828000.0,20541180.29521562,26878094.50500694,0.5152000530931989,10582817.17869206,13847595.716023594
