Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d)
111,38329.832888413584,55772.46120574364,23500.843177424722,79273.30438316836,117603.13727158195
112,38064.712879091676,55938.35380062747,23556.942467583598,79495.29626821107,117560.00914730274
113,37801.94460805503,56103.0485609566,23612.54480259563,79715.59336355224,117517.53797160726
114,37541.09363771147,56266.564351131135,23667.6587381558,79934.22308928694,117475.31672699841
115,37282.04266018401,56428.91958032096,23722.292612351877,80151.21219267283,117433.25485285683
116,37024.77925468644,56590.13221720295,23776.454552957737,80366.58677016068,117391.36602484711
117,36769.29108614171,56750.21980410169,23830.15248442421,80580.37228852589,117349.66337466761
118,36515.56590459057,56909.19937135914,23883.39413458247,80792.59350594161,117308.15941053219
119,36263.591544604154,57067.08190578364,23936.187041073958,81003.2689468576,117266.86049146176
120,36013.35592470071,53200.51497741115,22350.35855752007,75550.87353493122,111564.22945963193
121,35764.8470467663,50318.07910607124,21069.310196434428,71387.38930250568,107152.23634927197
122,35518.052995479586,48009.28562007833,19998.5106414916,68007.79626156992,103525.8492570495
123,35272.96193774044,46079.12224039435,19081.30479647936,65160.427036873705,100433.38897461415
124,35029.56212210264,44418.90424224828,18281.097398956637,62700.001641204915,97729.56376330755
125,34787.84187821038,42961.548537084884,17572.900509020037,60534.44904610492,95322.29092431531
126,34547.78961623876,41662.591055341705,16938.904207833726,58601.49526317543,93149.28487941419
127,34309.393826338026,40490.96511754472,16365.973731677284,56856.938849222,91166.33267556003
128,34072.643078081746,39424.06499835109,15844.148747438212,55268.2137457893,89340.85682387104
129,33837.52601991872,38444.90197598118,15365.699313358044,53810.60128933922,87648.12730925794
130,33604.031378628744,37540.368606499425,14924.508030562074,52464.8766370615,86068.90801569025
131,33372.147958782065,36700.12887296719,14515.651987443101,51215.78086041029,84587.92881919236
132,33141.86464220257,35915.880729230754,14135.11174328489,50050.992472515645,83192.85711471821
133,32913.17038743476,35180.85001586622,13779.563719796664,48960.413735662885,81873.58412309765
134,32686.054229214264,34489.43347401901,13446.228894977827,47935.66236899684,80621.7165982111
135,32460.505277942168,33836.940886687,13132.760436240342,46969.70132292734,79430.20660086951
136,32236.512719162813,33219.404930529745,12837.158847445819,46056.56377797556,78293.07649713838
137,32014.065813045338,32633.438384660338,12557.706930746495,45191.14531540683,77205.21112845217
138,31793.15389386867,32076.125158914143,12292.919263948439,44369.044422862586,76162.19831673126
139,31573.766369510187,31544.935925689417,12041.502475899952,43586.43840158937,75160.20477109955
140,31355.892720937813,31037.661950115846,11802.323666924683,42839.985617040526,74195.87833797834
141,31139.522501705702,30552.362583289738,11574.385051324098,42126.747634613836,73266.27013631954
142,30924.645337453305,30087.3231531001,11356.803408209942,41444.12656131004,72368.77189876334
143,30711.250925408,29641.020865445644,11148.793287741028,40789.81415318667,71501.06507859466
144,30499.329033891067,29212.096946380007,10949.65317916699,40161.750125547,70661.07915943806
145,30288.869501827132,28799.33369689733,10758.7540359345,39558.08773283183,69846.95723465897
146,30079.862238256956,28401.635451588143,10575.529674538871,38977.165126127016,69057.02736438398
147,29872.297221853594,28018.012666800245,10399.467535077267,38417.48020187751,68289.77742373111
148,29666.16450044192,27647.568537958676,10230.10239405385,37877.67093201252,67543.83543245445
149,29461.454190521436,27289.487676314264,10067.011326418158,37356.499002732424,66817.95319325387
150,29258.156476792385,26943.02647443557,9909.808761665376,36852.835236100946,66110.99171289333
151,29056.261611685135,26607.504865578827,9758.14224029722,36365.64710587605,65421.908717561186
152,28855.75991489281,26282.299240630313,9611.688755002078,35893.98799563239,64749.7479105252
153,28656.641772907155,25966.83633191902,9470.151582575701,35436.98791449472,64093.62968740187
154,28458.897638557573,25660.58790898984,9333.257529752314,34993.84543874215,63452.743077299725
155,28262.518030553387,25363.066159724487,9200.754529781181,34563.820689505665,62826.33872005905
156,28067.49353302923,25073.8196527232,9072.409537541711,34146.22919026491,62213.72272329414
157,27873.814795093553,24792.429794908723,8948.00667982928,33740.436474738,61614.251269831555
158,27681.472530380335,24518.507712863684,8827.345624614241,33345.85333747792,61027.32586785826
159,27490.457516603776,24251.69149820944,8710.240138923975,32961.93163713341,60452.38915373719
160,27300.76059511614,23991.643766952842,8596.516809790726,32588.16057674357,59888.92117185971
161,27112.372670468583,23738.04949060983,8486.013906655468,32224.063397265294,59336.43606773388
162,26925.284709975116,23490.61406340658,8378.580366884094,31869.194430290678,58794.479140265794
163,26739.487743279467,23249.061575231433,8274.07488876649,31523.136463997922,58262.62420727739
164,26554.97286192498,23013.13326447587,8172.365118634063,31185.49838310993,57740.47124503491
165,26371.731218927493,22782.58612863064,8073.326920628966,30855.913049259605,57227.6442681871
166,26189.75402835114,22557.19167362735,7976.843719254396,30534.035392881746,56723.78942123288
167,26009.03256488709,22336.734785544904,7882.8059061825425,30219.540691727445,56228.57325661453
168,25829.558163435206,22121.01271052081,7791.110303938042,29912.12301445885,55741.68117789406
169,25651.32221868854,21909.83413058929,7701.659680044856,29611.493810634147,55262.81602932268
170,25474.316184720803,21703.018324769255,7614.36230605149,29317.380630820746,54791.69681554155
171,25298.531574576504,21500.39440609098,7529.131556557048,29029.52596264803,54328.05753722454
172,25123.959959864147,21301.800626419943,7445.885543967451,28747.686170387395,53871.64613025154
173,24950.592970352,21107.083741940147,7364.5467852334195,28471.630527173565,53422.22349752557
174,24778.422293566855,20916.09843302404,7285.041897272224,28201.140330296264,52979.56262386312
175,24607.439674395406,20728.706772962683,7207.301318165024,27936.008091127707,52543.44776552312
176,24437.636914688464,20544.777740676414,7131.259051559531,27676.036792235944,52113.67370692441
177,24269.005872867885,20364.18677308752,7056.852432001635,27421.039205089153,51690.04507795704
178,24101.538463536188,20186.815353324848,6984.021909175693,27170.83726250054,51272.37572603673
179,23935.2266570889,20012.5506313566,6912.710849256961,26925.26148061356,50860.48813770246
